subject,frame_idx,pred_prob,pred_label,true_label
01,0,0.5497792959213257,1,1
01,1,0.231207937002182,1,1
01,2,0.2373308688402176,1,1
01,3,0.29632681608200073,1,1
01,4,0.12356088310480118,1,1
01,5,0.20033183693885803,1,1
01,6,0.03143508732318878,0,1
01,7,0.1201791912317276,1,1
01,8,0.09430903941392899,0,1
01,9,0.5239390134811401,1,1
01,10,0.16304083168506622,1,1
01,11,0.11177289485931396,1,1
01,12,0.007841897197067738,0,1
01,13,0.0356467068195343,0,1
01,14,0.021655721589922905,0,1
01,15,0.019082041457295418,0,1
01,16,0.0130608594045043,0,1
01,17,0.03251507133245468,0,1
01,18,0.10401877760887146,1,1
01,19,0.1789657175540924,1,1
01,20,0.15758571028709412,1,1
01,21,0.061192404478788376,0,1
01,22,0.005785565823316574,0,1
01,23,0.018157465383410454,0,1
01,24,0.0022272870410233736,0,1
01,25,0.21484366059303284,1,1
01,26,0.10363989323377609,1,1
01,27,0.011053682304918766,0,1
01,28,0.0954078733921051,0,1
01,29,0.02805275470018387,0,1
01,30,0.09778489917516708,0,1
01,31,0.039012402296066284,0,1
01,32,0.1467636525630951,1,1
01,33,0.10249567776918411,1,1
01,34,0.16415239870548248,1,1
01,35,0.17707349359989166,1,1
01,36,0.1276075690984726,1,1
01,37,0.11770433932542801,1,1
01,38,0.08242234587669373,0,1
01,39,0.011868054047226906,0,1
01,40,0.054087378084659576,0,1
01,41,0.035725679248571396,0,1
01,42,0.036011483520269394,0,1
01,43,0.01484370045363903,0,1
01,44,0.28615063428878784,1,1
01,45,0.015068000182509422,0,1
01,46,0.006547680124640465,0,1
01,47,0.11662373691797256,1,1
01,48,0.03364170342683792,0,1
01,49,0.02785569243133068,0,1
01,50,0.12470473349094391,1,1
01,51,0.001226374413818121,0,1
01,52,0.186208114027977,1,1
01,53,0.06886942684650421,0,1
01,54,0.013626486994326115,0,1
01,55,0.037232406437397,0,1
01,56,0.024004606530070305,0,1
01,57,0.024088934063911438,0,1
01,58,0.03503439947962761,0,0
01,59,0.043918903917074203,0,0
01,60,0.4089866280555725,1,0
01,61,0.06033401936292648,0,0
01,62,0.29231971502304077,1,0
01,63,0.10202706605195999,1,0
01,64,0.05581295117735863,0,0
01,65,0.09349486231803894,0,0
01,66,0.09977210313081741,0,0
