subject,frame_idx,pred_prob,pred_label,true_label
01,0,0.29489052295684814,0,1
01,1,0.14056533575057983,0,1
01,2,0.07799576222896576,0,1
01,3,0.23748721182346344,0,1
01,4,0.7049523591995239,1,1
01,5,0.2918321192264557,0,1
01,6,0.7651721239089966,1,1
01,7,0.3182407319545746,0,1
01,8,0.255558580160141,0,1
01,9,0.1327521651983261,0,1
01,10,0.07407844811677933,0,1
01,11,0.12411569803953171,0,1
01,12,0.17467406392097473,0,1
01,13,0.09279739111661911,0,1
01,14,0.13537196815013885,0,1
01,15,0.07519719749689102,0,1
01,16,0.04097668081521988,0,1
01,17,0.0035294860135763884,0,1
01,18,0.023099398240447044,0,1
01,19,0.03697465360164642,0,1
01,20,0.037823230028152466,0,1
01,21,0.01806371472775936,0,1
01,22,0.035668227821588516,0,1
01,23,0.005629056133329868,0,1
01,24,0.11214596778154373,0,1
01,25,0.002823774004355073,0,1
01,26,0.07850971072912216,0,1
01,27,0.06428003311157227,0,1
01,28,0.03599407523870468,0,1
01,29,0.05697149038314819,0,1
01,30,0.5571160316467285,1,0
01,31,0.35995054244995117,0,0
01,32,0.2765614688396454,0,0
01,33,0.38185152411460876,0,0
01,34,0.005214659031480551,0,0
01,35,0.02288554050028324,0,0
01,36,0.8615574240684509,1,0
01,37,0.05786656588315964,0,0
01,38,0.009575444273650646,0,0
01,39,0.016743479296565056,0,0
01,40,0.02967635914683342,0,0
01,41,0.0030902985017746687,0,0
01,42,0.01286738645285368,0,0
01,43,0.014113116078078747,0,0
01,44,0.087400883436203,0,0
01,45,0.08193572610616684,0,0
01,46,0.022896401584148407,0,0
01,47,0.05232679843902588,0,0
01,48,0.12582074105739594,0,0
01,49,0.02130522020161152,0,0
01,50,0.012558518908917904,0,0
01,51,0.00999410543590784,0,0
01,52,0.022432222962379456,0,0
01,53,0.08770107477903366,0,0
01,54,0.12680432200431824,0,0
01,55,0.07168976217508316,0,0
01,56,0.07090044766664505,0,0
01,57,0.153299018740654,0,0
01,58,0.34719517827033997,0,0
01,59,0.04095891863107681,0,0
01,60,0.03612824156880379,0,0
01,61,0.2677476406097412,0,0
01,62,0.016989825293421745,0,0
01,63,0.0363476388156414,0,0
01,64,0.0338868610560894,0,0
01,65,0.28663933277130127,0,0
01,66,0.2249499410390854,0,0
01,67,0.08262226730585098,0,0
01,68,0.3014930784702301,0,0
01,69,0.12317449599504471,0,0
01,70,0.4380178451538086,0,0
01,71,0.13226625323295593,0,0
01,72,0.21118533611297607,0,0
01,73,0.24457496404647827,0,0
01,74,0.1227680891752243,0,0
01,75,0.03642788901925087,0,0
01,76,0.16532936692237854,0,0
01,77,0.10874107480049133,0,0
01,78,0.07078581303358078,0,0
01,79,0.21609538793563843,0,0
01,80,0.06314288824796677,0,0
01,81,0.10815748572349548,0,0
01,82,0.07199496030807495,0,0
01,83,0.16284410655498505,0,0
